olmogdn22l16d0.1drnestp30k0.001lr	>> early stop 0.09666666666666666			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.996		eval_len201-300_acc: 0.981		lr: 0.001
olmogdn22l16d0.1drnestp30k0.0001lr	>> early stop 0.38333333333333336			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.993		lr: 0.0001
olmogdn24l8d0drnestp30k0.001lr	>> early stop 0.7833333333333333			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.9995		lr: 0.001
olmogdn24l8d0drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.8775		eval_len201-300_acc: 0.134		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.001lr	>> early stop 0.36333333333333334			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.9905		lr: 0.001
olmogdn24l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.893		eval_len201-300_acc: 0.177		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9305		eval_len201-300_acc: 0.163		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9965		eval_len201-300_acc: 0.5185		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 1.0		eval_len201-300_acc: 0.634		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.0001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.764		eval_len201-300_acc: 0.925		lr: 0.0001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9875		eval_len201-300_acc: 0.6935		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.983		eval_len201-300_acc: 0.6995		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.983		eval_len201-300_acc: 0.702		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.983		eval_len201-300_acc: 0.714		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.983		eval_len201-300_acc: 0.7205		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9845		eval_len201-300_acc: 0.722		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9845		eval_len201-300_acc: 0.724		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9845		eval_len201-300_acc: 0.7285		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9845		eval_len201-300_acc: 0.731		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9845		eval_len201-300_acc: 0.7345		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.985		eval_len201-300_acc: 0.7365		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9855		eval_len201-300_acc: 0.738		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9855		eval_len201-300_acc: 0.7435		lr: 0.001
olmogdn24l16d0drnestp30k0.0001lr	>> early stop 0.10333333333333333			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.977		eval_len201-300_acc: 0.5895		lr: 0.0001
olmogdn24l16d0drnestp30k0.0001lr	>> early stop 0.13333333333333333			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9865		eval_len201-300_acc: 0.9365		lr: 0.0001
olmogdn24l16d0drnestp30k0.0001lr	>> early stop 0.13666666666666666			eval_len2-100_acc: 0.998		eval_len101-200_acc: 0.999		eval_len201-300_acc: 0.9435		lr: 0.0001
olmogdn24l16d0drnestp30k0.0001lr	>> early stop 0.14			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.995		eval_len201-300_acc: 0.994		lr: 0.0001
olmogdn24l16d0.1drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9975		eval_len201-300_acc: 0.84		lr: 0.001
olmogdn24l16d0.1drnestp30k0.001lr	>> reach max step			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.9985		eval_len201-300_acc: 0.723		lr: 0.001
olmogdn24l16d0.1drnestp30k0.0001lr	>> early stop 0.44			eval_len2-100_acc: 1.0		eval_len101-200_acc: 0.999		eval_len201-300_acc: 0.9925		lr: 0.0001
