olmohybsssagdn22l2h16d0.1drnestp30k0.001lr	>> early stop 0.01			eval_len0-49_acc: 0.9935		eval_len50-99_acc: 0.9855		eval_len100-149_acc: 0.981		lr: 0.001
olmohybsssagdn22l2h16d0.1drnestp30k0.0001lr	>> early stop 0.016666666666666666			eval_len0-49_acc: 0.997		eval_len50-99_acc: 0.993		eval_len100-149_acc: 0.983		lr: 0.0001
olmohybsssagdn22l4h8d0drnestp30k0.001lr	>> early stop 0.013333333333333334			eval_len0-49_acc: 0.9985		eval_len50-99_acc: 0.9895		eval_len100-149_acc: 0.981		lr: 0.001
olmohybsssagdn22l4h8d0drnestp30k0.0001lr	>> early stop 0.03			eval_len0-49_acc: 0.998		eval_len50-99_acc: 0.988		eval_len100-149_acc: 0.9805		lr: 0.0001
olmohybsssagdn22l4h8d0.1drnestp30k0.001lr	>> early stop 0.006666666666666667			eval_len0-49_acc: 0.9935		eval_len50-99_acc: 0.985		eval_len100-149_acc: 0.9795		lr: 0.001
olmohybsssagdn22l4h8d0.1drnestp30k0.001lr	>> early stop 0.013333333333333334			eval_len0-49_acc: 0.99		eval_len50-99_acc: 0.9815		eval_len100-149_acc: 0.98		lr: 0.001
olmohybsssagdn22l4h8d0.1drnestp30k0.0001lr	>> early stop 0.023333333333333334			eval_len0-49_acc: 0.998		eval_len50-99_acc: 0.985		eval_len100-149_acc: 0.971		lr: 0.0001
olmohybsssagdn22l4h8d0.1drnestp30k0.0001lr	>> early stop 0.02666666666666667			eval_len0-49_acc: 0.9955		eval_len50-99_acc: 0.9895		eval_len100-149_acc: 0.981		lr: 0.0001
olmohybsssagdn22l4h16d0drnestp30k0.001lr	>> early stop 0.01			eval_len0-49_acc: 0.9985		eval_len50-99_acc: 0.993		eval_len100-149_acc: 0.986		lr: 0.001
olmohybsssagdn22l4h16d0drnestp30k0.0001lr	>> early stop 0.013333333333333334			eval_len0-49_acc: 0.9975		eval_len50-99_acc: 0.9905		eval_len100-149_acc: 0.981		lr: 0.0001
