olmogdn22l16d0.1drnestp30k0.0001lr	reach max step			eval_len1-100_acc: 0.8759302325581395		eval_len101-150_acc: 0.2927		eval_len151-200_acc: 0.0388		eval_len201-250_acc: 0.0011		lr: 0.0001
olmogdn22l16d0.1drnestp30k0.0001lr	reach max step			eval_len1-100_acc: 0.8753488372093023		eval_len101-150_acc: 0.2849		eval_len151-200_acc: 0.0304		eval_len201-250_acc: 0.0017		lr: 0.0001
olmogdn24l8d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 0.9987209302325581		eval_len101-150_acc: 0.9956		eval_len151-200_acc: 0.9886		eval_len201-250_acc: 0.9476		lr: 0.001
olmogdn24l8d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 0.998139534883721		eval_len101-150_acc: 0.9963		eval_len151-200_acc: 0.9923		eval_len201-250_acc: 0.9575		lr: 0.001
olmogdn24l8d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 0.998139534883721		eval_len101-150_acc: 0.9961		eval_len151-200_acc: 0.9915		eval_len201-250_acc: 0.9592		lr: 0.001
olmogdn24l8d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 0.998139534883721		eval_len101-150_acc: 0.9962		eval_len151-200_acc: 0.9926		eval_len201-250_acc: 0.9569		lr: 0.001
olmogdn24l8d0drnestp30k0.0001lr	reach max step			eval_len1-100_acc: 0.3388372093023256		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		lr: 0.0001
olmogdn24l8d0.1drnestp30k0.001lr	reach max step			eval_len1-100_acc: 0.9345348837209302		eval_len101-150_acc: 0.6167		eval_len151-200_acc: 0.387		eval_len201-250_acc: 0.1756		lr: 0.001
olmogdn24l8d0.1drnestp30k0.001lr	reach max step			eval_len1-100_acc: 0.9369767441860465		eval_len101-150_acc: 0.602		eval_len151-200_acc: 0.3284		eval_len201-250_acc: 0.1072		lr: 0.001
olmogdn24l8d0.1drnestp30k0.001lr	reach max step			eval_len1-100_acc: 0.936046511627907		eval_len101-150_acc: 0.6191		eval_len151-200_acc: 0.3582		eval_len201-250_acc: 0.1329		lr: 0.001
olmogdn24l8d0.1drnestp30k0.0001lr	reach max step			eval_len1-100_acc: 0.08965116279069768		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		lr: 0.0001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.995		eval_len201-250_acc: 0.9205		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9998		eval_len151-200_acc: 0.9951		eval_len201-250_acc: 0.923		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.9948		eval_len201-250_acc: 0.9242		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9949		eval_len201-250_acc: 0.9246		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9948		eval_len201-250_acc: 0.9252		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9998		eval_len151-200_acc: 0.9953		eval_len201-250_acc: 0.9262		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9952		eval_len201-250_acc: 0.9267		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9998		eval_len151-200_acc: 0.9954		eval_len201-250_acc: 0.9305		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9957		eval_len201-250_acc: 0.929		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9961		eval_len201-250_acc: 0.9305		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9956		eval_len201-250_acc: 0.9315		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9955		eval_len201-250_acc: 0.9327		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.9957		eval_len201-250_acc: 0.9336		lr: 0.001
olmogdn24l16d0drnestp30k0.001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9962		eval_len201-250_acc: 0.9347		lr: 0.001
olmogdn24l16d0drnestp30k0.0001lr	reach max step			eval_len1-100_acc: 0.3958139534883721		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		lr: 0.0001
olmogdn24l16d0.1drnestp30k0.001lr	>> early stop 0.06666666666666667			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9999		eval_len151-200_acc: 0.9943		eval_len201-250_acc: 0.8412		lr: 0.001
olmogdn24l16d0.1drnestp30k0.001lr	>> early stop 0.11			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9996		eval_len151-200_acc: 0.9978		eval_len201-250_acc: 0.9918		lr: 0.001
olmogdn24l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9924		eval_len151-200_acc: 0.9366		eval_len201-250_acc: 0.5837		lr: 0.0001
olmogdn24l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9989		eval_len151-200_acc: 0.9776		eval_len201-250_acc: 0.6646		lr: 0.0001
olmogdn24l16d0.1drnestp30k0.0001lr	>> reach max step			eval_len1-100_acc: 1.0		eval_len101-150_acc: 0.9996		eval_len151-200_acc: 0.9836		eval_len201-250_acc: 0.7035		lr: 0.0001
