lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.025		eval_len50-99_acc: 0.001		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.028		eval_len50-99_acc: 0.0015		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0295		eval_len50-99_acc: 0.0005		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.03		eval_len50-99_acc: 0.0015		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0305		eval_len50-99_acc: 0.0015		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0315		eval_len50-99_acc: 0.001		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.032		eval_len50-99_acc: 0.0005		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.03		eval_len50-99_acc: 0.0035		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.034		eval_len50-99_acc: 0.002		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.037		eval_len50-99_acc: 0.0015		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0385		eval_len50-99_acc: 0.0025		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.039		eval_len50-99_acc: 0.001		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0395		eval_len50-99_acc: 0.002		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.04		eval_len50-99_acc: 0.002		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.041		eval_len50-99_acc: 0.002		eval_len100-149_acc: 0.0		lr: 0.001
lm0.0reg1l4h16d0dr1mlppelnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.001		eval_len50-99_acc: 0.0		eval_len100-149_acc: 0.0		lr: 0.0001
lm0.0reg1l4h16d0.1dr1mlppelnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.0025		eval_len50-99_acc: 0.0		eval_len100-149_acc: 0.0		lr: 0.001
